PathwayName,Event,RelationType,InputReaction
Cell Cycle,R-HSA-6803801,Shared entity relation,R-HSA-6803388
Cell Cycle,R-HSA-69562,Shared entity relation,null
Cell Cycle,R-HSA-187934,Shared entity relation,R-HSA-187916
Cell Cycle,R-HSA-912505,Shared entity relation,null
Cell Cycle,R-HSA-912408,Shared entity relation,null
Cell Cycle,R-HSA-912389,Shared entity relation,R-HSA-912505
Cell Cycle,R-HSA-912389,Shared entity relation,R-HSA-912408
Cell Cycle,R-HSA-912470,Shared entity relation,null
Cell Cycle,R-HSA-912467,Shared entity relation,R-HSA-912450
Cell Cycle,R-HSA-912450,Shared entity relation,R-HSA-912470
Cell Cycle,R-HSA-912429,Shared entity relation,R-HSA-69140
Cell Cycle,R-HSA-912429,Shared entity relation,R-HSA-176175
Cell Cycle,R-HSA-912429,Shared entity relation,R-HSA-174445
Cell Cycle,R-HSA-912429,Shared entity relation,R-HSA-912503
Cell Cycle,R-HSA-912429,Shared entity relation,R-HSA-912496
Cell Cycle,R-HSA-912429,Shared entity relation,null
Cell Cycle,R-HSA-912363,Shared entity relation,R-HSA-1214188
Cell Cycle,R-HSA-912458,Shared entity relation,R-HSA-912496
Cell Cycle,R-HSA-912503,Shared entity relation,R-HSA-912458
Cell Cycle,R-HSA-9023941,Shared entity relation,R-HSA-9023943
Cell Cycle,R-HSA-912368,Shared entity relation,R-HSA-9023941
Cell Cycle,R-HSA-912496,Shared entity relation,R-HSA-912503
Cell Cycle,R-HSA-912496,Shared entity relation,R-HSA-912429
Cell Cycle,R-HSA-1214188,Shared entity relation,null
Cell Cycle,R-HSA-9023943,Shared entity relation,R-HSA-912503
Cell Cycle,R-HSA-9023943,Shared entity relation,null
Cell Cycle,R-HSA-163010,Shared entity relation,null
Cell Cycle,R-HSA-174144,Shared entity relation,R-HSA-174202
Cell Cycle,R-HSA-2467798,Shared entity relation,null
Cell Cycle,R-HSA-2467809,Shared entity relation,R-HSA-2467811
Cell Cycle,R-HSA-2545203,Shared entity relation,null
Cell Cycle,R-HSA-2467811,Shared entity relation,R-HSA-2545203
Cell Cycle,R-HSA-2467811,Shared entity relation,null
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-264444
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-69015
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-75824
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-8854051
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-8854041
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-3000335
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174144
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174104
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-69598
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174195
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174227
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174159
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-179417
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174121
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174224
Cell Cycle,R-HSA-174202,Shared entity relation,R-HSA-174120
Cell Cycle,R-HSA-2467775,Shared entity relation,R-HSA-2467809
Cell Cycle,R-HSA-174121,Shared entity relation,R-HSA-174144
Cell Cycle,R-HSA-2995389,Shared entity relation,null
Cell Cycle,R-HSA-2995388,Shared entity relation,R-HSA-2995376
Cell Cycle,R-HSA-2995376,Shared entity relation,R-HSA-2993898
Cell Cycle,R-HSA-156723,Shared entity relation,null
Cell Cycle,R-HSA-156673,Shared entity relation,null
Cell Cycle,R-HSA-2470935,Shared entity relation,null
Cell Cycle,R-HSA-2468040,Shared entity relation,R-HSA-2470935
Cell Cycle,R-HSA-2214351,Shared entity relation,R-HSA-2314566
Cell Cycle,R-HSA-2422927,Shared entity relation,R-HSA-2314566
